time,pleth_1
22:51.2,65325
22:51.2,65313
22:51.2,65314
22:51.2,65323
22:51.2,65304
22:51.2,65304
22:51.2,65312
22:51.2,65306
22:51.2,65302
22:51.2,65291
22:51.2,65291
22:51.2,65287
22:51.2,65304
22:51.2,65295
22:51.2,65284
22:51.2,65284
22:51.2,65281
22:51.2,65290
22:51.2,65295
22:51.2,65299
22:51.2,65299
22:51.2,65288
22:51.2,65281
22:51.2,65291
22:51.2,65294
22:51.2,65294
22:51.2,65289
22:51.2,65278
22:51.2,65268
22:51.2,65268
22:51.2,65285
22:51.2,65279
22:51.2,65276
22:51.2,65281
22:51.2,65281
22:51.2,65296
22:51.2,65273
22:51.2,65274
22:51.2,65286
22:51.2,65286
22:51.2,65278
22:51.2,65276
22:51.2,65283
22:51.2,65288
22:51.2,65288
22:51.2,65278
22:51.2,65273
22:51.3,65280
22:51.3,65285
22:51.3,65285
22:51.3,65282
22:51.3,65273
22:51.3,65280
22:51.3,65280
22:51.3,65280
22:51.3,65296
22:51.3,65287
22:51.3,65298
22:51.3,65290
22:51.3,65290
22:51.3,65292
22:51.3,65300
22:51.3,65295
22:51.3,65287
22:51.3,65287
22:51.3,65302
22:51.3,65296
22:51.3,65281
22:51.3,65298
22:51.3,65298
22:51.3,65303
22:51.3,65303
22:51.3,65301
22:51.3,65301
22:51.3,65301
22:51.3,65312
22:51.3,65316
22:51.3,65305
22:51.3,65305
22:51.3,65321
22:51.3,65319
22:51.3,65320
22:51.3,65322
22:51.3,65322
22:51.3,65325
22:51.3,65323
22:51.3,65328
22:51.3,65329
22:51.3,65329
22:51.3,65342
22:51.3,65330
22:51.3,65337
22:51.3,65330
22:51.3,65330
22:51.3,65350
22:51.3,65347
22:51.3,65340
22:51.4,65345
22:51.4,65345
22:51.4,65354
22:51.4,65359
22:51.4,65360
22:51.4,65369
22:51.4,65369
22:51.4,65380
22:51.4,65386
22:51.4,65396
22:51.4,65380
22:51.4,65380
22:51.4,65405
22:51.4,65395
22:51.4,65401
22:51.4,65395
22:51.4,65395
22:51.4,65416
22:51.4,65419
22:51.4,65425
22:51.4,65417
22:51.4,65417
22:51.4,65430
22:51.4,65439
22:51.4,65439
22:51.4,65439
22:51.4,65443
22:51.4,65430
